[E 2021-07-25 07:10:30,108 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:11:02,966 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:12:46,919 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:13:30,116 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:30:51,090 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:31:10,158 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:31:29,345 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:32:02,388 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:33:50,692 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:34:11,263 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:45:27,585 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:45:53,213 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:46:16,375 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
[E 2021-07-25 07:46:47,232 C:\Users\retr0\AppData\Roaming\Python\Python37\site-packages\shioaji\shioaji.py:145:login] {'success': 'False', 'errorType': 'AccessError', 'errorCode': 'None', 'result': {'msg': '配合交易所市場會測作業，電子平台暫停服務'}}
